symbol,name,lastsale,netchange,pctchange,marketCap,url
SCLEU,Broadscale Acquisition Corp. Units,$10.04,0.005,0.05%,NA,/market-activity/stocks/scleu
SCLEW,Broadscale Acquisition Corp. Warrant,$0.0015,-0.0063,-80.769%,NA,/market-activity/stocks/sclew
SCLX,Scilex Holding Company Common Stock,$4.755,0.254,5.643%,"670,925,060",/market-activity/stocks/sclx
SCLXW,Scilex Holding Company Warrant,$0.3002,0.0752,33.422%,NA,/market-activity/stocks/sclxw
SCM,Stellus Capital Investment Corporation Common Stock,$13.59,UNCH,--,"265,629,257",/market-activity/stocks/scm
SCMA,Seaport Calibre Materials Acquisition Corp. Class A Common Stock,$10.1297,-0.0003,-0.003%,"164,607,625",/market-activity/stocks/scma
SCMAW,Seaport Calibre Materials Acquisition Corp. Warrant,$0.06,0.029,93.548%,NA,/market-activity/stocks/scmaw
SCOA,ScION Tech Growth I Class A Ordinary Shares,$10.065,0.005,0.05%,"723,421,875",/market-activity/stocks/scoa
SCOAU,ScION Tech Growth I Unit,$10.06,UNCH,--,NA,/market-activity/stocks/scoau
SCOAW,ScION Tech Growth I Warrant,$0.0039,UNCH,--,NA,/market-activity/stocks/scoaw
SCOB,ScION Tech Growth II Class A Ordinary Shares,$10.055,0.005,0.05%,"433,621,875",/market-activity/stocks/scob
SCOBU,ScION Tech Growth II Units,$10.05,UNCH,--,NA,/market-activity/stocks/scobu
SCOBW,ScION Tech Growth II Warrants,$0.0148,0.0112,311.111%,NA,/market-activity/stocks/scobw
SCOR,"comScore, Inc. Common Stock",$1.35,UNCH,--,"124,212,972",/market-activity/stocks/scor
SCPH,scPharmaceuticals Inc. Common Stock,$7.4979,0.1679,2.291%,"255,334,109",/market-activity/stocks/scph
SCPL,SciPlay Corporation Class A Common Stock,$16.035,0.015,0.094%,"363,937,993",/market-activity/stocks/scpl
SCPS,Scopus BioPharma Inc. Common Stock,$0.22,-0.0002,-0.091%,"4,640,738",/market-activity/stocks/scps
SCRMU,Screaming Eagle Acquisition Corp. Unit,$9.98,UNCH,--,NA,/market-activity/stocks/scrmu
SCRMW,Screaming Eagle Acquisition Corp. Warrant,$0.28,0.01,3.704%,NA,/market-activity/stocks/scrmw
SCS,Steelcase Inc. Common Stock,$8.125,0.195,2.459%,"916,368,148",/market-activity/stocks/scs
SCSC,"ScanSource, Inc. Common Stock",$30.17,0.31,1.038%,"761,648,167",/market-activity/stocks/scsc
SCTL,"Societal CDMO, Inc. Common Stock",$1.80,UNCH,--,"102,061,017",/market-activity/stocks/sctl
SCU,"Sculptor Capital Management, Inc. Class A Common Stock",$10.22,0.17,1.692%,"244,492,334",/market-activity/stocks/scu
SCUA,Sculptor Acquisition Corp I Class A Ordinary Shares,$10.17,UNCH,--,"292,387,500",/market-activity/stocks/scua
SCVL,"Shoe Carnival, Inc. Common Stock",$25.84,-0.57,-2.158%,"713,543,021",/market-activity/stocks/scvl
SCWO,374Water Inc. Common Stock,$3.16,0.06,1.935%,"400,311,628",/market-activity/stocks/scwo
SCWX,SecureWorks Corp. Class A Common Stock,$7.00,-0.18,-2.507%,"594,792,653",/market-activity/stocks/scwx
SCX,L.S. Starrett Company (The) Common Stock,$8.22,0.34,4.315%,"60,683,377",/market-activity/stocks/scx
SCYX,"SCYNEXIS, Inc. Common Stock",$2.17,-0.19,-8.051%,"70,865,673",/market-activity/stocks/scyx
SD,"SandRidge Energy, Inc. Common Stock",$20.59,0.19,0.931%,"759,110,329",/market-activity/stocks/sd
SDAC,Sustainable Development Acquisition I Corp. Class A Common Stock,$10.035,0.005,0.05%,"396,696,094",/market-activity/stocks/sdac
SDACU,Sustainable Development Acquisition I Corp. Unit,$10.04,0.025,0.25%,NA,/market-activity/stocks/sdacu
SDACW,Sustainable Development Acquisition I Corp. Warrant,$0.05,-0.0139,-21.753%,NA,/market-activity/stocks/sdacw
SDC,"SmileDirectClub, Inc. Class A Common Stock",$0.6176,0.0095,1.562%,"75,214,407",/market-activity/stocks/sdc
SDGR,"Schrodinger, Inc. Common Stock",$18.06,0.06,0.333%,"1,286,548,582",/market-activity/stocks/sdgr
SDHY,PGIM Short Duration High Yield Opportunities Fund Common Shares,$15.3312,0.0212,0.138%,"378,267,556",/market-activity/stocks/sdhy
SDIG,"Stronghold Digital Mining, Inc. Class A Common Stock",$0.7273,-0.0027,-0.37%,"20,698,815",/market-activity/stocks/sdig
SDPI,"Superior Drilling Products, Inc. Common Stock",$0.8379,0.0179,2.183%,"24,504,453",/market-activity/stocks/sdpi
SDRL,Seadrill Limited Common Shares,$32.385,0.385,1.203%,"1,619,249,935",/market-activity/stocks/sdrl
SE,"Sea Limited American Depositary Shares, each representing one Class A Ordinary Share",$60.695,2.325,3.983%,"34,094,685,482",/market-activity/stocks/se
SEAC,"SeaChange International, Inc. Common Stock",$0.46,0.0085,1.883%,"23,027,460",/market-activity/stocks/seac
SEAL^A,Seapeak LLC 9.00% Series A Cumulative Redeemable Perpetual Preferred Units,$24.0345,0.0245,0.102%,NA,/market-activity/stocks/seal^a
SEAL^B,Seapeak LLC 8.50% Series B Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Units,$24.00,0.46,1.954%,NA,/market-activity/stocks/seal^b
SEAS,"SeaWorld Entertainment, Inc. Common Stock",$57.09,0.03,0.053%,"3,647,281,313",/market-activity/stocks/seas
SEAT,Vivid Seats Inc. Class A Common Stock,$7.99,0.19,2.436%,"1,577,226,000",/market-activity/stocks/seat
SEATW,Vivid Seats Inc. Warrant,$2.13,UNCH,--,NA,/market-activity/stocks/seatw
SEB,Seaboard Corporation Common Stock,"$3,968.80",15.95,0.404%,"4,606,899,695",/market-activity/stocks/seb
SECO,Secoo Holding Limited ADS,$1.70,0.03,1.796%,"12,010,935",/market-activity/stocks/seco
SEDA,SDCL EDGE Acquisition Corporation Class A Ordinary Shares,$9.98,0.01,0.10%,"249,440,689",/market-activity/stocks/seda
SEDG,"SolarEdge Technologies, Inc. Common Stock",$296.465,-2.395,-0.801%,"16,570,874,117",/market-activity/stocks/sedg
SEE,Sealed Air Corporation Common Stock,$53.32,0.09,0.169%,"7,713,139,073",/market-activity/stocks/see
SEED,Origin Agritech Limited Common Stock,$10.46,-0.10,-0.947%,"62,927,967",/market-activity/stocks/seed
SEEL,"Seelos Therapeutics, Inc. Common Stock",$0.8505,0.0319,3.897%,"91,146,602",/market-activity/stocks/seel
SEER,"Seer, Inc. Class A Common Stock",$6.77,0.31,4.799%,"424,083,409",/market-activity/stocks/seer
SEIC,SEI Investments Company Common Stock,$62.57,0.29,0.466%,"8,436,218,056",/market-activity/stocks/seic
SELB,"Selecta Biosciences, Inc. Common Stock",$1.315,0.005,0.382%,"201,235,893",/market-activity/stocks/selb
SELF,"Global Self Storage, Inc. Common Stock",$5.18,0.08,1.569%,"57,526,661",/market-activity/stocks/self
SEM,Select Medical Holdings Corporation Common Stock,$25.01,0.43,1.749%,"3,175,860,211",/market-activity/stocks/sem
SEMR,"SEMrush Holdings, Inc. Class A Common Stock",$9.55,0.07,0.738%,"1,351,847,968",/market-activity/stocks/semr
SENEA,Seneca Foods Corp. Class A Common Stock,$65.92,1.64,2.551%,"500,078,876",/market-activity/stocks/senea
SENEB,Seneca Foods Corp. Class B Common Stock,$63.03,UNCH,--,"478,154,908",/market-activity/stocks/seneb
SENS,"Senseonics Holdings, Inc. Common Stock",$1.1575,0.0475,4.279%,"553,581,723",/market-activity/stocks/sens
SERA,"Sera Prognostics, Inc. Class A Common Stock",$1.38,0.04,2.985%,"42,803,431",/market-activity/stocks/sera
SES,SES AI Corporation Class A Common Stock,$4.92,-0.14,-2.767%,"1,721,140,014",/market-activity/stocks/ses
SESN,"Sesen Bio, Inc. Common Stock",$0.5428,-0.011,-1.986%,"110,056,506",/market-activity/stocks/sesn
SEV,Sono Group N.V. Common Shares,$1.29,0.02,1.575%,"113,350,718",/market-activity/stocks/sev
SEVN,Seven Hills Realty Trust Common Stock,$9.6035,0.1035,1.089%,"141,261,973",/market-activity/stocks/sevn
SF,Stifel Financial Corporation Common Stock,$64.0929,-0.1571,-0.245%,"6,811,833,662",/market-activity/stocks/sf
SF^B,"Stifel Financial Corporation Depositary Shares, Each Representing 1/1,000th  Interest in a Share of 6.25% Non-Cumulative  Preferred Stock, Series B",$24.92,-0.23,-0.915%,NA,/market-activity/stocks/sf^b
SF^C,"Stifel Financial Corporation Depositary Shares, Each Representing 1/1,000th Interest in a Share of 6.125% Non Cumulative Preferred Stock, Series C",$24.3249,-0.5251,-2.113%,NA,/market-activity/stocks/sf^c
SF^D,"Stifel Financial Corporation Depositary Shares, Each Representing 1/1,000th Interest in a Share of 4.50% Non-Cumulative Preferred Stock, Series D",$17.95,0.01,0.056%,NA,/market-activity/stocks/sf^d
SFB,Stifel Financial Corporation 5.20% Senior Notes due 2047,$22.12,UNCH,--,NA,/market-activity/stocks/sfb
SFBC,"Sound Financial Bancorp, Inc. Common Stock",$39.75,UNCH,--,"102,698,855",/market-activity/stocks/sfbc
SFBS,"ServisFirst Bancshares, Inc. Common Stock",$75.48,-0.34,-0.448%,"4,100,403,825",/market-activity/stocks/sfbs
SFE,"Safeguard Scientifics, Inc. Common Stock",$3.30,-0.04,-1.198%,"54,077,516",/market-activity/stocks/sfe
SFET,Safe-T Group Ltd. American Depositary Share,$3.35,0.01,0.299%,"10,930,393",/market-activity/stocks/sfet
SFIX,"Stitch Fix, Inc. Class A Common Stock",$4.085,0.045,1.114%,"452,650,909",/market-activity/stocks/sfix
SFL,SFL Corporation Ltd,$9.935,0.145,1.481%,"1,376,615,189",/market-activity/stocks/sfl
SFM,"Sprouts Farmers Market, Inc. Common Stock",$33.88,-0.45,-1.311%,"3,586,281,684",/market-activity/stocks/sfm
SFNC,Simmons First National Corporation Class A Common Stock,$23.105,-0.105,-0.452%,"2,933,633,717",/market-activity/stocks/sfnc
SFR,"Appreciate Holdings, Inc. Class A Common Stock",$6.3396,-0.1404,-2.167%,"182,263,500",/market-activity/stocks/sfr
SFRWW,"Appreciate Holdings, Inc. Warrant",$0.1398,UNCH,--,NA,/market-activity/stocks/sfrww
SFST,"Southern First Bancshares, Inc. Common Stock",$49.18,-0.32,-0.646%,"393,309,378",/market-activity/stocks/sfst
SFT,"Shift Technologies, Inc. Class A Common Stock",$0.2832,0.0057,2.054%,"24,235,555",/market-activity/stocks/sft
SG,"Sweetgreen, Inc. Class A Common Stock",$14.45,0.12,0.837%,"1,601,063,295",/market-activity/stocks/sg
SGA,"Saga Communications, Inc. Class A Common Stock (FL)",$25.95,0.20,0.777%,"157,064,166",/market-activity/stocks/sga
SGBX,"SG Blocks, Inc. Common Stock",$1.292,0.032,2.54%,"15,568,866",/market-activity/stocks/sgbx
SGC,"Superior Group of Companies, Inc. Common Stock",$9.93,-0.07,-0.70%,"162,215,884",/market-activity/stocks/sgc
SGEN,Seagen Inc. Common Stock,$122.25,0.86,0.708%,"22,697,534,147",/market-activity/stocks/sgen
SGFY,"Signify Health, Inc. Class A Common Stock",$28.47,-0.15,-0.524%,"6,717,463,190",/market-activity/stocks/sgfy
SGH,"SMART Global Holdings, Inc. Ordinary Shares",$16.9745,0.0645,0.381%,"825,310,273",/market-activity/stocks/sgh
SGHC,Super Group (SGHC) Limited Ordinary Shares,$3.20,0.01,0.313%,"1,568,631,898",/market-activity/stocks/sghc
SGHLW,Signal Hill Acquisition Corp. Warrant,$0.0133,-0.002,-13.072%,NA,/market-activity/stocks/sghlw
SGHT,"Sight Sciences, Inc. Common Stock",$11.30,0.13,1.164%,"544,109,713",/market-activity/stocks/sght
SGII,Seaport Global Acquisition II Corp. Class A Common Stock,$10.12,-0.02,-0.197%,"181,843,750",/market-activity/stocks/sgii
SGIIW,Seaport Global Acquisition II Corp. Warrants,$0.008,-0.001,-11.111%,NA,/market-activity/stocks/sgiiw
SGLY,Singularity Future Technology Ltd. Common Stock,$0.7419,-0.0008,-0.108%,"16,307,209",/market-activity/stocks/sgly
SGMA,"SigmaTron International, Inc. Common Stock",$5.3998,-0.0902,-1.643%,"32,783,741",/market-activity/stocks/sgma
SGML,Sigma Lithium Corporation Common Shares,$33.8275,-0.4725,-1.378%,"3,501,146,250",/market-activity/stocks/sgml
SGMO,"Sangamo Therapeutics, Inc. Common Stock",$3.62,-0.04,-1.093%,"593,245,625",/market-activity/stocks/sgmo
SGRP,"SPAR Group, Inc. Common Stock",$1.3134,-0.0424,-3.127%,"29,837,107",/market-activity/stocks/sgrp
SGRY,"Surgery Partners, Inc. Common Stock",$28.50,0.19,0.671%,"3,232,470,627",/market-activity/stocks/sgry
SGTX,"Sigilon Therapeutics, Inc. Common Stock",$0.40,0.0056,1.42%,"12,982,695",/market-activity/stocks/sgtx
SGU,Star Group L.P. Common Stock,$8.72,-0.01,-0.115%,"316,848,621",/market-activity/stocks/sgu
SHAC,SCP & CO Healthcare Acquisition Company Class A Common Stock,$10.07,0.0185,0.184%,"289,512,500",/market-activity/stocks/shac
SHACU,SCP & CO Healthcare Acquisition Company Unit,$10.05,0.01,0.10%,NA,/market-activity/stocks/shacu
SHACW,SCP & CO Healthcare Acquisition Company Warrant,$0.0011,0.0009,450.00%,NA,/market-activity/stocks/shacw
SHAK,"Shake Shack, Inc. Class A Common Stock",$52.72,0.12,0.228%,"2,070,838,384",/market-activity/stocks/shak
SHAP,Spree Acquisition Corp. 1 Limited Class A Ordinary Shares,$10.15,UNCH,--,"263,349,007",/market-activity/stocks/shap
SHBI,Shore Bancshares Inc Common Stock,$19.8539,-0.0561,-0.282%,"394,254,259",/market-activity/stocks/shbi
SHC,Sotera Health Company Common Stock,$8.75,0.41,4.916%,"2,468,493,116",/market-activity/stocks/shc
SHCA,Spindletop Health Acquisition Corp. Class A Common Stock,$10.23,UNCH,--,"288,236,910",/market-activity/stocks/shca
SHCAU,Spindletop Health Acquisition Corp. Unit,$10.23,UNCH,--,NA,/market-activity/stocks/shcau
SHCAW,Spindletop Health Acquisition Corp. Warrant,$0.0024,-0.0004,-14.286%,NA,/market-activity/stocks/shcaw
SHCR,"Sharecare, Inc. Class A Common Stock",$1.975,0.065,3.403%,"698,202,002",/market-activity/stocks/shcr
SHCRW,"Sharecare, Inc. Warrant",$0.21,UNCH,--,NA,/market-activity/stocks/shcrw
SHEL,"Royal Dutch Shell PLC American Depositary Shares (each representing two (2) Ordinary Shares) ",$58.595,0.125,0.214%,"206,907,117,948",/market-activity/stocks/shel
SHEN,Shenandoah Telecommunications Co Common Stock,$19.73,0.26,1.335%,"988,439,538",/market-activity/stocks/shen
SHFS,"SHF Holdings, Inc. Class A Common Stock",$3.7301,-0.5199,-12.233%,"77,645,433",/market-activity/stocks/shfs
SHFSW,"SHF Holdings, Inc. Warrants",$0.05,-0.0028,-5.303%,NA,/market-activity/stocks/shfsw
SHG,Shinhan Financial Group Co Ltd American Depositary Shares,$29.22,0.20,0.689%,"14,987,749,702",/market-activity/stocks/shg
SHIP,Seanergy Maritime Holdings Corp Common Stock,$0.5349,0.0176,3.402%,"81,915,270",/market-activity/stocks/ship
SHLS,"Shoals Technologies Group, Inc. Class A Common Stock",$23.675,-5.295,-18.278%,"2,687,310,470",/market-activity/stocks/shls
SHO,"Sunstone Hotel Investors, Inc. Sunstone Hotel Investors, Inc. Common Shares",$11.15,0.16,1.456%,"2,345,954,648",/market-activity/stocks/sho
SHO^H,"Sunstone Hotel Investors, Inc. 6.125% Series H Cumulative Redeemable Preferred Stock",$19.3899,0.0599,0.31%,NA,/market-activity/stocks/sho^h
SHO^I,"Sunstone Hotel Investors, Inc. 5.70% Series I Cumulative Redeemable Preferred Stock",$18.105,0.035,0.194%,NA,/market-activity/stocks/sho^i
SHOO,"Steven Madden, Ltd. Common Stock",$34.77,0.23,0.666%,"2,708,008,634",/market-activity/stocks/shoo
SHOP,Shopify Inc. Class A Subordinate Voting Shares,$43.28,2.40,5.871%,"55,056,024,255",/market-activity/stocks/shop
SHPH,"Shuttle Pharmaceuticals Holdings, Inc. Common Stock",$1.435,-0.015,-1.034%,"19,412,077",/market-activity/stocks/shph
SHPW,"Shapeways Holdings, Inc. Common Stock",$0.5973,-0.0027,-0.45%,"29,444,357",/market-activity/stocks/shpw
SHQA,Shelter Acquisition Corporation I Class A Common Stock,$10.04,UNCH,--,"278,167,537",/market-activity/stocks/shqa
SHQAU,Shelter Acquisition Corporation I Units,$10.02,UNCH,--,NA,/market-activity/stocks/shqau
SHQAW,Shelter Acquisition Corporation I Warrants,$0.04,UNCH,--,NA,/market-activity/stocks/shqaw
SHUA,SHUAA Partners Acquisition Corp I Class A Ordinary Share,$10.23,UNCH,--,"138,936,188",/market-activity/stocks/shua
SHUAU,SHUAA Partners Acquisition Corp I Unit,$10.23,UNCH,--,NA,/market-activity/stocks/shuau
SHUAW,SHUAA Partners Acquisition Corp I Warrant,$0.04,UNCH,--,NA,/market-activity/stocks/shuaw
SHW,Sherwin-Williams Company (The) Common Stock,$251.195,2.015,0.809%,"65,095,530,382",/market-activity/stocks/shw
SHYF,"The Shyft Group, Inc. Common Stock",$24.45,-0.08,-0.326%,"857,484,018",/market-activity/stocks/shyf
SI,Silvergate Capital Corporation Class A Common Stock,$27.70,0.27,0.984%,"876,943,303",/market-activity/stocks/si
SI^A,"Silvergate Capital Corporation Depositary Shares, Each Representing a 1/40th Interest in a Share of 5.375% Fixed Rate Non-Cumulative Perpetual Preferred Stock, Series A",$13.96,-0.23,-1.621%,NA,/market-activity/stocks/si^a
SIBN,"SI-BONE, Inc. Common Stock",$12.43,0.15,1.221%,"428,789,568",/market-activity/stocks/sibn
SID,Companhia Siderurgica Nacional S.A. Common Stock,$2.835,-0.225,-7.353%,"3,933,630,673",/market-activity/stocks/sid
SIDU,"Sidus Space, Inc. Class A Common Stock",$1.69,-0.05,-2.874%,"30,408,089",/market-activity/stocks/sidu
SIEB,Siebert Financial Corp. Common Stock,$1.56,UNCH,--,"50,461,833",/market-activity/stocks/sieb
SIEN,"Sientra, Inc. Common Stock",$0.2809,0.0009,0.321%,"28,369,751",/market-activity/stocks/sien
SIER,Sierra Lake Acquisition Corp. Class A Common Stock,$10.10,UNCH,--,"390,112,500",/market-activity/stocks/sier
SIERW,Sierra Lake Acquisition Corp. Warrant,$0.0499,0.0368,280.916%,NA,/market-activity/stocks/sierw
SIF,"SIFCO Industries, Inc. Common Stock",$2.82,0.0346,1.242%,"17,031,720",/market-activity/stocks/sif
SIFY,Sify Technologies Limited American Depositary Shares,$1.375,0.005,0.365%,"251,270,757",/market-activity/stocks/sify
SIG,Signet Jewelers Limited Common Shares,$63.985,-1.015,-1.562%,"2,959,008,656",/market-activity/stocks/sig
SIGA,SIGA Technologies Inc. Common Stock,$8.885,-0.295,-3.214%,"648,819,546",/market-activity/stocks/siga
SIGI,"Selective Insurance Group, Inc. Common Stock",$95.76,-0.36,-0.375%,"5,771,950,279",/market-activity/stocks/sigi
SIGIP,"Selective Insurance Group, Inc. Depositary Shares, each representing a 1/1,000th interest in a share of 4.60% Non-Cumulative Preferred Stock, Series B",$17.39,0.18,1.046%,NA,/market-activity/stocks/sigip
SII,Sprott Inc. Common Shares,$37.105,1.275,3.558%,"928,177,827",/market-activity/stocks/sii
SILC,Silicom Ltd Ordinary Shares,$45.94,0.26,0.569%,"305,538,855",/market-activity/stocks/silc
SILK,"Silk Road Medical, Inc. Common Stock",$53.2825,0.0325,0.061%,"2,031,264,717",/market-activity/stocks/silk
SILO,"Silo Pharma, Inc. Common Stock",$3.35,-0.20,-5.634%,"10,514,970",/market-activity/stocks/silo
SILV,SilverCrest Metals Inc. Common Shares,$6.86,0.28,4.255%,"1,004,981,521",/market-activity/stocks/silv
SIM,"Grupo Simec, S.A.B. de C.V. American Depositary Shares",$31.26,UNCH,--,"5,186,129,999",/market-activity/stocks/sim
SIMO,Silicon Motion Technology Corporation American Depositary Shares,$63.245,0.145,0.23%,"2,089,969,604",/market-activity/stocks/simo
SINT,"SiNtx Technologies, Inc. Common Stock",$0.1229,-0.011,-8.215%,"6,382,577",/market-activity/stocks/sint
SIOX,Sio Gene Therapies Inc. Common Stock,$0.3104,0.0025,0.812%,"22,961,901",/market-activity/stocks/siox
SIRE,Sisecam Resources LP Common Units representing limited partner interests,$21.8098,-0.0002,-0.001%,"431,829,482",/market-activity/stocks/sire
SIRI,Sirius XM Holdings Inc. Common Stock,$6.45,-0.04,-0.616%,"25,087,514,753",/market-activity/stocks/siri
SISI,"Shineco, Inc. Common Stock",$0.745,UNCH,--,"2,262,598",/market-activity/stocks/sisi
SITC,SITE Centers Corp. Common Stock,$13.76,0.17,1.251%,"2,924,169,578",/market-activity/stocks/sitc
SITC^A,SITE Centers Corp. 6.375% Class A Preferred Shares,$23.23,-0.30,-1.275%,NA,/market-activity/stocks/sitc^a
SITE,"SiteOne Landscape Supply, Inc. Common Stock",$128.77,3.24,2.581%,"5,807,891,548",/market-activity/stocks/site
SITM,SiTime Corporation Common Stock,$103.395,-2.065,-1.958%,"2,216,736,172",/market-activity/stocks/sitm
SIVB,SVB Financial Group Common Stock,$232.35,0.57,0.246%,"13,732,843,211",/market-activity/stocks/sivb
SIVBP,"SVB Financial Group Depositary Shs each representing a 1/40th interest in a share of 5.25% Fixed-Rate Non-Cumulative Perpetual Preferred Stock, Series A",$17.63,0.08,0.456%,NA,/market-activity/stocks/sivbp
SIX,Six Flags Entertainment Corporation New Common Stock,$23.95,-0.14,-0.581%,"1,991,598,271",/market-activity/stocks/six
SJ,"Scienjoy Holding Corporation Class A Ordinary Shares ",$1.95,-0.02,-1.015%,"77,119,041",/market-activity/stocks/sj
SJI,"South Jersey Industries, Inc. Common Stock",$34.96,0.26,0.749%,"4,281,369,163",/market-activity/stocks/sji
SJIJ,"South Jersey Industries, Inc. 5.625% Junior Subordinated Notes due 2079",$17.30,UNCH,--,NA,/market-activity/stocks/sjij
SJIV,"South Jersey Industries, Inc. Corporate Units",$69.13,-0.52,-0.747%,NA,/market-activity/stocks/sjiv
SJM,J.M. Smucker Company (The) New Common Stock,$155.10,1.09,0.708%,"16,539,710,606",/market-activity/stocks/sjm
SJR,Shaw Communications Inc. Common Stock,$27.53,0.24,0.879%,"13,752,533,370",/market-activity/stocks/sjr
SJT,San Juan Basin Royalty Trust Common Stock,$11.76,0.12,1.031%,"548,119,441",/market-activity/stocks/sjt
SJW,SJW Group Common Stock (DE),$74.925,0.235,0.315%,"2,271,674,826",/market-activity/stocks/sjw
SKE,Skeena Resources Limited Common Shares,$5.82,0.34,6.204%,"440,976,907",/market-activity/stocks/ske
SKGR,SK Growth Opportunities Corporation Class A Common Stock,$10.15,0.01,0.099%,"265,930,000",/market-activity/stocks/skgr
SKGRU,SK Growth Opportunities Corporation Unit,$10.13,UNCH,--,NA,/market-activity/stocks/skgru
SKGRW,SK Growth Opportunities Corporation Warrant,$0.09,-0.05,-35.714%,NA,/market-activity/stocks/skgrw
SKIL,Skillsoft Corp. Class A Common Stock,$1.985,0.065,3.385%,"326,410,619",/market-activity/stocks/skil
SKIN,The Beauty Health Company Class A Common Stock,$10.83,0.08,0.744%,"1,550,867,274",/market-activity/stocks/skin
SKLZ,Skillz Inc. Class A Common Stock,$0.9826,0.0037,0.378%,"412,989,746",/market-activity/stocks/sklz
SKM,"SK Telecom Co., Ltd. Common Stock",$21.58,0.13,0.606%,"8,477,714,761",/market-activity/stocks/skm
SKT,"Tanger Factory Outlet Centers, Inc. Common Stock",$19.415,-0.035,-0.18%,"2,025,895,607",/market-activity/stocks/skt
SKX,"Skechers U.S.A., Inc. Common Stock",$43.055,0.885,2.099%,"6,677,865,331",/market-activity/stocks/skx
SKY,Skyline Champion Corporation Common Stock,$54.05,2.06,3.962%,"3,076,770,738",/market-activity/stocks/sky
SKYA,Skydeck Acquisition Corp. Class A Ordinary Shares,$9.995,-0.015,-0.15%,"276,935,993",/market-activity/stocks/skya
SKYAW,Skydeck Acquisition Corp. Warrants,$0.03,-0.0149,-33.185%,NA,/market-activity/stocks/skyaw
SKYH,Sky Harbour Group Corporation Class A Common Stock,$3.40,0.01,0.295%,"50,873,625",/market-activity/stocks/skyh
SKYT,"SkyWater Technology, Inc. Common Stock",$9.835,-0.035,-0.355%,"425,714,181",/market-activity/stocks/skyt
SKYW,"SkyWest, Inc. Common Stock",$18.27,-0.18,-0.976%,"924,433,006",/market-activity/stocks/skyw
SKYX,SKYX Platforms Corp. Common Stock,$2.35,-0.05,-2.083%,"194,455,511",/market-activity/stocks/skyx
SLAB,"Silicon Laboratories, Inc. Common Stock",$143.03,-2.41,-1.657%,"4,760,452,901",/market-activity/stocks/slab
SLAC,Social Leverage Acquisition Corp I Class A Common Stock,$10.04,-0.01,-0.10%,"432,975,000",/market-activity/stocks/slac
SLAM,Slam Corp. Class A Ordinary Share,$10.025,0.005,0.05%,"720,546,875",/market-activity/stocks/slam
SLAMU,Slam Corp. Unit,$10.02,UNCH,--,NA,/market-activity/stocks/slamu
SLAMW,Slam Corp. warrant,$0.0723,-0.0229,-24.055%,NA,/market-activity/stocks/slamw
SLB,Schlumberger N.V. Common Stock,$52.08,0.53,1.028%,"73,849,115,802",/market-activity/stocks/slb
SLCA,"U.S. Silica Holdings, Inc. Common Stock",$13.04,-0.05,-0.382%,"987,243,821",/market-activity/stocks/slca
SLDB,Solid Biosciences Inc. Common Stock,$6.70,UNCH,--,"50,483,776",/market-activity/stocks/sldb
SLDP,"Solid Power, Inc. Class A Common Stock",$3.50,-0.17,-4.632%,"615,350,274",/market-activity/stocks/sldp
SLDPW,"Solid Power, Inc. Warrant",$0.71,0.0213,3.093%,NA,/market-activity/stocks/sldpw
SLF,Sun Life Financial Inc. Common Stock,$47.48,0.08,0.169%,"27,839,238,313",/market-activity/stocks/slf
SLG,SL Green Realty Corp Common Stock,$42.67,0.71,1.692%,"2,744,365,896",/market-activity/stocks/slg
SLG^I,SL Green Realty Corporation Preferred Series I,$20.25,0.36,1.81%,NA,/market-activity/stocks/slg^i
SLGC,"SomaLogic, Inc. Class A Common Stock",$2.915,0.115,4.107%,"546,638,246",/market-activity/stocks/slgc
SLGCW,"SomaLogic, Inc. Warrant",$0.41,0.0075,1.863%,NA,/market-activity/stocks/slgcw
SLGG,"Super League Gaming, Inc. Common Stock",$0.69,0.0084,1.232%,"10,373,771",/market-activity/stocks/slgg
SLGL,Sol-Gel Technologies Ltd. Ordinary Shares,$4.55,-0.18,-3.805%,"105,239,084",/market-activity/stocks/slgl
SLGN,Silgan Holdings Inc. Common Stock,$52.72,-0.18,-0.34%,"5,803,365,249",/market-activity/stocks/slgn
SLI,Standard Lithium Ltd. Common Shares,$4.2558,-0.1442,-3.277%,"708,812,840",/market-activity/stocks/sli
SLM,SLM Corporation Common Stock,$17.24,-0.11,-0.634%,"4,313,393,349",/market-activity/stocks/slm
SLMBP,"SLM Corporation Floating Rate Non-Cumulative Preferred Stock, Series B",$57.85,1.2603,2.227%,NA,/market-activity/stocks/slmbp
SLN,Silence Therapeutics Plc American Depository Share,$16.30,0.62,3.954%,"1,754,942,972",/market-activity/stocks/sln
SLNA,Selina Hospitality PLC Ordinary Shares,$3.3601,0.0601,1.821%,"355,159,879",/market-activity/stocks/slna
SLNAW,Selina Hospitality PLC Warrant,$0.1832,-0.0168,-8.40%,NA,/market-activity/stocks/slnaw
SLNG,"Stabilis Solutions, Inc. Common Stock",$6.875,-0.085,-1.221%,"126,408,789",/market-activity/stocks/slng
SLNH,"Soluna Holdings, Inc. Common Stock",$0.754,-0.0423,-5.312%,"13,221,889",/market-activity/stocks/slnh
SLNHP,"Soluna Holdings, Inc 9.0% Series A Cumulative Perpetual Preferred Stock ",$2.55,0.06,2.41%,NA,/market-activity/stocks/slnhp
